transaction,account,amount,cur
100330,101101,16.72,USD
100331,101101,14.67,USD
100332,101101,8.60,USD
100333,101101,5.10,USD
100334,101101,10.50,USD
100335,101101,7.59,USD
100336,101101,12.64,USD
100337,101101,12.47,USD
100338,101101,11.96,USD
100339,101101,12.61,USD
100340,101102,8.18,EUR
100341,101101,7.22,USD
100342,101102,11.27,EUR
100343,101101,9.05,USD
100344,101102,5.77,EUR
100345,101101,6.78,USD
100346,101101,6.92,USD
100347,101101,11.63,USD
100348,101102,11.20,EUR
100349,101101,11.90,USD
100350,101102,10.64,EUR
100351,101101,11.94,USD
100352,101101,10.44,USD
100353,101101,5.80,USD
100354,101101,17.73,USD
100355,101101,9.59,USD
100356,101101,11.16,USD
100357,101101,6.04,USD
100358,101101,21.34,USD
100359,101102,9.00,EUR
100360,101101,6.78,USD
100361,101101,16.41,USD
100362,101101,8.63,USD
100363,101101,16.78,USD
100364,101101,20.80,USD
100365,101101,19.61,USD
100366,101101,7.19,USD
100367,101101,12.67,USD
100368,101101,7.18,USD
100369,101101,9.91,USD
100370,101101,2.48,USD
100371,101101,22.20,USD
100372,101101,9.62,USD
100373,101101,15.54,USD
100374,101101,2.29,USD
100375,101101,3.30,USD
100376,101101,19.27,USD
100377,101101,2.46,USD
100378,101101,13.77,USD
100379,101102,7.61,EUR
100380,101101,11.03,USD
100381,101101,16.27,USD
100382,101101,7.48,USD
100383,101101,7.39,USD
100384,101102,9.71,EUR
100385,101101,6.81,USD
100386,101101,-3.14,USD
100387,101102,14.76,EUR
100388,101102,9.63,EUR
100389,101101,14.88,USD
100390,101101,10.59,USD
100391,101101,10.95,USD
100392,101101,7.64,USD
100393,101101,2.10,USD
100394,101101,3.79,USD
100395,101101,4.39,USD
100396,101102,15.33,EUR
100397,101101,4.70,USD
100398,101101,6.13,USD
100399,101101,13.33,USD
100400,101101,10.15,USD
100401,101101,6.48,USD
100402,101101,9.07,USD
100403,101101,17.41,USD
100404,101101,10.26,USD
100405,101101,10.45,USD
100406,101101,5.97,USD
100407,101101,13.00,USD
100408,101101,7.26,USD
100409,101101,18.18,USD
100410,101101,6.33,USD
100411,101101,-9.07,USD
100412,101101,13.86,USD
100413,101101,15.69,USD
100414,101101,14.91,USD
100415,101101,13.35,USD
100416,101101,8.35,USD
100417,101101,1.58,USD
100418,101101,9.12,USD
100419,101101,9.68,USD
100420,101101,18.83,USD
100421,101101,15.37,USD
100422,101101,2.62,USD
100423,101101,6.84,USD
100424,101101,7.27,USD
100425,101101,14.04,USD
100426,101102,9.00,EUR
100427,101101,15.48,USD
100428,101102,19.16,EUR
100429,101101,19.14,USD
100430,101101,16.05,USD
100431,101101,6.09,USD
100432,101101,8.37,USD
100433,101101,16.09,USD
100434,101101,4.67,USD
100435,101102,11.81,EUR
100436,101101,24.22,USD
100437,101101,11.27,USD
100438,101101,14.35,USD
100439,101101,13.33,USD
100440,101101,12.23,USD
100441,101101,13.35,USD
100442,101101,12.14,USD
100443,101101,10.24,USD
100444,101101,18.80,USD
100445,101101,5.26,USD
100446,101101,14.00,USD
100447,101101,8.34,USD
100448,101102,10.61,EUR
100449,101101,14.38,USD
100450,101101,7.31,USD
100451,101102,10.93,EUR
100452,101101,3.22,USD
100453,101101,6.44,USD
100454,101101,9.29,USD
100455,101101,7.32,USD
100456,101101,-4.18,USD
100457,101101,8.47,USD
100458,101101,5.73,USD
100459,101101,14.03,USD
100460,101102,10.29,EUR
100461,101101,1.22,USD
100462,101101,9.29,USD
100463,101101,11.09,USD
100464,101101,6.04,USD
100465,101101,16.54,USD
100466,101101,21.09,USD
100467,101102,17.57,EUR
100468,101101,13.01,USD
100469,101101,5.98,USD
100470,101101,4.63,USD
100471,101101,8.01,USD
100472,101101,9.20,USD
100473,101101,10.31,USD
100474,101101,7.47,USD
100475,101101,10.87,USD
100476,101101,0.69,USD
100477,101101,14.14,USD
100478,101101,8.58,USD
100479,101101,9.41,USD
100480,101101,9.31,USD
100481,101101,15.02,USD
100482,101101,5.90,USD
100483,101101,11.27,USD
100484,101101,14.10,USD
100485,101101,-0.77,USD
100486,101101,8.73,USD
100487,101102,6.15,EUR
100488,101101,15.09,USD
100489,101101,0.64,USD
100490,101101,12.42,USD
100491,101102,15.02,EUR
100492,101101,7.58,USD
100493,101101,10.96,USD
100494,101102,13.09,EUR
100495,101101,10.72,USD
100496,101101,9.45,USD
100497,101101,10.28,USD
100498,101101,8.13,USD
100499,101101,8.77,USD
100500,101101,14.25,USD
100501,101102,11.64,EUR
100502,101101,11.08,USD
100503,101101,11.80,USD
100504,101101,7.96,USD
100505,101101,8.36,USD
100506,101101,12.19,USD
100507,101101,7.09,USD
100508,101101,-0.17,USD
100509,101102,-0.42,EUR
100510,101102,4.00,EUR
100511,101102,4.09,EUR
100512,101101,9.95,USD
100513,101101,5.17,USD
100514,101101,11.40,USD
100515,101102,12.52,EUR
100516,101101,15.68,USD
100517,101101,9.59,USD
100518,101101,16.41,USD
100519,101101,15.08,USD
100520,101102,-1.27,EUR
100521,101101,13.04,USD
100522,101101,10.48,USD
100523,101101,6.78,USD
100524,101102,8.39,EUR
100525,101102,3.47,EUR
100526,101101,9.24,USD
100527,101101,16.84,USD
100528,101101,11.86,USD
100529,101102,14.78,EUR
100530,101101,3.63,USD
100531,101101,11.91,USD
100532,101101,12.99,USD
100533,101101,14.31,USD
100534,101101,4.52,USD
100535,101101,8.74,USD
100536,101101,20.38,USD
100537,101101,17.77,USD
100538,101101,3.52,USD
100539,101101,4.83,USD
100540,101101,7.16,USD
100541,101101,15.65,USD
100542,101102,15.29,EUR
100543,101101,7.04,USD
100544,101101,6.64,USD
100545,101101,5.65,USD
100546,101101,8.68,USD
100547,101102,7.87,EUR
100548,101101,3.16,USD
100549,101101,10.96,USD
100550,101101,2.33,USD
100551,101101,11.72,USD
100552,101102,8.40,EUR
100553,101101,4.29,USD
100554,101101,6.03,USD
100555,101101,10.53,USD
100556,101102,3.11,EUR
100557,101101,9.83,USD
100558,101101,7.94,USD
100559,101102,7.45,EUR
100560,101101,2.68,USD
100561,101101,17.49,USD
100562,101102,15.71,EUR
100563,101101,14.55,USD
100564,101101,12.01,USD
100565,101101,5.45,USD
100566,101101,17.08,USD
100567,101102,10.86,EUR
100568,101101,20.18,USD
100569,101101,3.89,USD
100570,101101,19.05,USD
100571,101102,12.79,EUR
100572,101101,14.51,USD
100573,101101,4.67,USD
100574,101101,10.91,USD
100575,101102,15.20,EUR
100576,101101,-1.35,USD
100577,101101,8.44,USD
100578,101102,11.69,EUR
100579,101101,8.08,USD
100580,101101,9.54,USD
100581,101101,9.60,USD
100582,101101,13.53,USD
100583,101101,10.34,USD
100584,101101,10.13,USD
100585,101102,-0.33,EUR
100586,101102,0.99,EUR
100587,101101,3.40,USD
100588,101101,12.92,USD
100589,101101,10.39,USD
100590,101101,9.54,USD
100591,101101,9.61,USD
100592,101102,9.90,EUR
100593,101101,10.81,USD
100594,101101,8.99,USD
100595,101101,8.55,USD
100596,101101,13.32,USD
100597,101101,11.88,USD
100598,101101,5.01,USD
100599,101101,13.52,USD
100600,101102,16.11,EUR
100601,101101,6.25,USD
100602,101102,7.16,EUR
100603,101102,17.26,EUR
100604,101101,7.46,USD
100605,101102,18.61,EUR
100606,101101,5.34,USD
100607,101101,3.66,USD
100608,101102,9.71,EUR
100609,101101,11.22,USD
100610,101102,10.65,EUR
100611,101101,-1.70,USD
100612,101101,8.31,USD
100613,101101,7.09,USD
100614,101101,18.49,USD
100615,101101,10.79,USD
100616,101101,5.79,USD
100617,101102,10.94,EUR
100618,101101,14.54,USD
100619,101101,16.01,USD
100620,101101,12.96,USD
100621,101102,12.57,EUR
100622,101102,6.91,EUR
100623,101101,6.33,USD
100624,101101,4.66,USD
100625,101101,4.02,USD
100626,101102,6.70,EUR
100627,101101,16.90,USD
100628,101101,-0.49,USD
100629,101101,11.03,USD
100630,101101,7.44,USD
100631,101101,10.97,USD
100632,101101,7.06,USD
100633,101102,11.63,EUR
100634,101101,10.34,USD
100635,101101,0.14,USD
100636,101102,13.69,EUR
100637,101101,7.04,USD
100638,101101,18.83,USD
100639,101101,7.44,USD
100640,101101,13.23,USD
100641,101101,3.37,USD
100642,101101,7.35,USD
100643,101101,12.85,USD
100644,101101,15.54,USD
100645,101101,5.51,USD
100646,101101,10.80,USD
100647,101101,6.75,USD
100648,101101,7.78,USD
100649,101101,8.23,USD
100650,101102,14.53,EUR
100651,101101,20.71,USD
100652,101101,18.02,USD
100653,101101,4.05,USD
100654,101101,11.07,USD
100655,101102,12.01,EUR
100656,101101,8.13,USD
100657,101101,15.79,USD
100658,101101,6.88,USD
100659,101101,9.76,USD
100660,101101,4.23,USD
100661,101101,17.56,USD
100662,101102,10.03,EUR
100663,101101,16.14,USD
100664,101101,12.05,USD
100665,101102,4.90,EUR
100666,101101,10.02,USD
100667,101101,-0.28,USD
100668,101102,13.98,EUR
100669,101101,9.36,USD
100670,101101,11.60,USD
100671,101101,9.39,USD
100672,101101,18.43,USD
100673,101102,12.78,EUR
100674,101101,3.16,USD
100675,101102,4.44,EUR
100676,101102,13.32,EUR
100677,101101,17.69,USD
100678,101101,4.51,USD
100679,101102,4.60,EUR
100680,101101,11.57,USD
100681,101101,6.11,USD
100682,101101,5.51,USD
100683,101101,9.43,USD
100684,101101,15.76,USD
100685,101101,13.36,USD
100686,101101,14.86,USD
100687,101101,11.89,USD
100688,101101,15.32,USD
100689,101101,11.59,USD
100690,101101,10.38,USD
100691,101101,9.64,USD
100692,101101,11.52,USD
100693,101101,1.73,USD
100694,101101,17.26,USD
100695,101101,11.41,USD
100696,101101,11.57,USD
100697,101101,7.47,USD
100698,101102,6.18,EUR
100699,101101,16.76,USD
100700,101101,6.76,USD
100701,101101,2.81,USD
100702,101101,5.31,USD
100703,101101,9.35,USD
100704,101101,13.14,USD
100705,101101,18.83,USD
100706,101101,11.65,USD
100707,101101,2.18,USD
100708,101101,4.56,USD
100709,101102,13.32,EUR
100710,101101,5.93,USD
100711,101101,8.19,USD
100712,101101,20.54,USD
100713,101102,14.46,EUR
100714,101101,13.08,USD
100715,101101,15.67,USD
100716,101101,13.50,USD
100717,101102,11.74,EUR
100718,101101,10.31,USD
100719,101102,9.86,EUR
100720,101102,13.51,EUR
100721,101101,8.98,USD
100722,101101,18.54,USD
100723,101101,6.89,USD
100724,101101,12.82,USD
100725,101101,12.44,USD
100726,101101,8.69,USD
100727,101101,6.87,USD
100728,101101,6.01,USD
100729,101101,14.45,USD
100730,101101,18.20,USD
100731,101101,5.03,USD
100732,101101,10.42,USD
100733,101101,6.44,USD
100734,101101,16.82,USD
100735,101101,15.14,USD
100736,101101,8.78,USD
100737,101102,9.02,EUR
100738,101101,7.95,USD
100739,101101,14.70,USD
100740,101101,3.89,USD
100741,101101,2.30,USD
100742,101101,17.57,USD
100743,101101,-0.80,USD
100744,101101,13.50,USD
100745,101101,0.27,USD
100746,101101,9.35,USD
100747,101101,7.95,USD
100748,101101,1.70,USD
100749,101101,6.26,USD
100750,101101,15.31,USD
100751,101101,7.62,USD
100752,101102,5.15,EUR
100753,101101,3.60,USD
100754,101102,10.90,EUR
100755,101101,11.18,USD
100756,101101,10.92,USD
100757,101101,1.98,USD
100758,101101,11.15,USD
100759,101101,12.55,USD
100760,101102,12.39,EUR
100761,101102,5.68,EUR
100762,101101,1.76,USD
100763,101101,12.19,USD
100764,101102,8.35,EUR
100765,101101,4.56,USD
100766,101101,6.96,USD
100767,101101,21.30,USD
100768,101102,8.23,EUR
100769,101101,10.02,USD
100770,101101,9.64,USD
100771,101101,5.71,USD
100772,101101,15.01,USD
100773,101102,7.87,EUR
100774,101101,12.76,USD
100775,101101,7.79,USD
100776,101101,9.15,USD
100777,101101,17.62,USD
100778,101101,16.43,USD
100779,101102,3.34,EUR
100780,101101,3.84,USD
100781,101101,5.79,USD
100782,101101,11.87,USD
100783,101101,18.31,USD
100784,101101,15.02,USD
100785,101102,11.07,EUR
100786,101101,7.28,USD
100787,101102,8.22,EUR
100788,101101,4.94,USD
100789,101101,6.63,USD
100790,101101,3.34,USD
100791,101101,-1.56,USD
100792,101102,12.07,EUR
100793,101101,12.95,USD
100794,101101,12.23,USD
100795,101101,15.06,USD
100796,101101,6.71,USD
100797,101101,4.65,USD
100798,101101,15.01,USD
100799,101102,10.46,EUR
100800,101102,1.31,EUR
100801,101101,11.83,USD
100802,101101,0.66,USD
100803,101101,9.05,USD
100804,101101,7.95,USD
100805,101102,11.24,EUR
100806,101101,13.82,USD
100807,101101,6.33,USD
100808,101101,9.39,USD
100809,101101,-5.19,USD
100810,101101,24.10,USD
100811,101101,8.25,USD
100812,101101,14.10,USD
100813,101101,22.29,USD
100814,101101,10.91,USD
100815,101101,6.95,USD
100816,101101,-1.17,USD
100817,101102,8.62,EUR
100818,101101,2.49,USD
100819,101102,9.78,EUR
100820,101101,14.35,USD
100821,101102,20.30,EUR
100822,101101,13.19,USD
100823,101101,11.20,USD
100824,101101,2.41,USD
100825,101101,12.42,USD
100826,101101,13.36,USD
100827,101101,10.74,USD
100828,101101,20.95,USD
100829,101101,4.11,USD
100830,101101,13.40,USD
100831,101101,29.32,USD
100832,101101,8.38,USD
100833,101102,11.67,EUR
100834,101101,9.91,USD
100835,101101,6.90,USD
100836,101102,15.60,EUR
100837,101101,13.08,USD
100838,101102,5.31,EUR
100839,101101,5.61,USD
100840,101101,12.59,USD
100841,101101,8.59,USD
100842,101101,16.49,USD
100843,101102,8.06,EUR
100844,101101,13.98,USD
100845,101101,12.37,USD
100846,101101,0.06,USD
100847,101102,14.96,EUR
100848,101102,6.58,EUR
100849,101101,11.24,USD
100850,101102,-3.43,EUR
100851,101101,11.94,USD
100852,101102,4.29,EUR
100853,101101,12.85,USD
100854,101101,19.04,USD
100855,101102,5.83,EUR
100856,101101,10.76,USD
100857,101101,16.91,USD
100858,101101,15.99,USD
100859,101101,9.29,USD
100860,101101,18.36,USD
100861,101101,6.22,USD
100862,101101,8.21,USD
100863,101101,13.61,USD
100864,101102,14.49,EUR
100865,101101,12.41,USD
100866,101101,9.92,USD
100867,101102,11.54,EUR
100868,101101,13.22,USD
100869,101101,9.75,USD
100870,101101,8.97,USD
100871,101101,11.12,USD
100872,101102,6.90,EUR
100873,101101,18.27,USD
100874,101101,7.04,USD
100875,101101,12.02,USD
100876,101101,4.44,USD
100877,101101,8.13,USD
100878,101101,13.37,USD
100879,101101,2.37,USD
100880,101102,8.05,EUR
100881,101101,16.41,USD
100882,101101,-0.33,USD
100883,101101,9.86,USD
100884,101101,8.16,USD
100885,101101,10.87,USD
100886,101101,10.86,USD
100887,101101,7.68,USD
100888,101101,9.96,USD
100889,101101,2.39,USD
100890,101101,15.23,USD
100891,101101,13.06,USD
100892,101101,16.14,USD
100893,101101,7.21,USD
100894,101101,3.00,USD
100895,101101,4.02,USD
100896,101102,15.80,EUR
100897,101101,13.46,USD
100898,101101,11.81,USD
100899,101101,3.29,USD
100900,101101,15.25,USD
100901,101101,20.16,USD
100902,101101,8.02,USD
100903,101101,4.79,USD
100904,101101,7.61,USD
100905,101101,14.63,USD
100906,101101,9.37,USD
100907,101101,3.74,USD
100908,101102,14.17,EUR
100909,101101,8.70,USD
100910,101101,5.64,USD
100911,101101,13.94,USD
100912,101102,11.89,EUR
100913,101101,2.09,USD
100914,101102,7.37,EUR
100915,101101,4.48,USD
100916,101101,11.52,USD
100917,101102,13.93,EUR
100918,101101,2.88,USD
100919,101102,10.41,EUR
100920,101101,18.70,USD
100921,101101,19.57,USD
100922,101101,11.05,USD
100923,101101,14.37,USD
100924,101101,13.51,USD
100925,101101,21.79,USD
100926,101101,10.72,USD
100927,101101,5.15,USD
100928,101101,13.92,USD
100929,101101,11.50,USD
100930,101101,6.25,USD
100931,101101,9.68,USD
100932,101101,7.76,USD
100933,101101,4.99,USD
100934,101101,18.81,USD
100935,101101,4.67,USD
100936,101102,15.55,EUR
100937,101102,8.98,EUR
100938,101101,12.12,USD
100939,101101,14.50,USD
100940,101102,10.43,EUR
100941,101101,11.30,USD
100942,101101,9.80,USD
100943,101101,4.57,USD
100944,101101,0.09,USD
100945,101101,9.46,USD
100946,101101,12.31,USD
100947,101101,4.50,USD
100948,101102,10.00,EUR
100949,101102,11.57,EUR
100950,101101,8.34,USD
100951,101101,11.63,USD
100952,101101,7.66,USD
100953,101102,13.69,EUR
100954,101101,6.49,USD
100955,101102,5.35,EUR
100956,101101,3.77,USD
100957,101101,12.19,USD
100958,101101,5.54,USD
100959,101101,-1.24,USD
100960,101101,9.31,USD
100961,101101,8.91,USD
100962,101102,11.05,EUR
100963,101102,8.74,EUR
100964,101102,14.54,EUR
100965,101101,0.94,USD
100966,101101,10.47,USD
100967,101101,4.51,USD
100968,101101,2.13,USD
100969,101101,16.91,USD
100970,101101,6.36,USD
100971,101101,10.24,USD
100972,101102,24.31,EUR
100973,101101,7.26,USD
100974,101102,5.22,EUR
100975,101101,12.02,USD
100976,101102,6.64,EUR
100977,101101,4.53,USD
100978,101101,8.58,USD
100979,101101,5.52,USD
100980,101101,16.69,USD
100981,101102,8.94,EUR
100982,101101,17.35,USD
100983,101101,7.01,USD
100984,101101,10.30,USD
100985,101101,13.97,USD
100986,101101,13.29,USD
100987,101101,3.93,USD
100988,101101,12.78,USD
100989,101101,3.82,USD
100990,101101,9.48,USD
100991,101101,15.33,USD
100992,101101,10.40,USD
100993,101101,17.70,USD
100994,101101,8.73,USD
100995,101101,13.74,USD
100996,101101,0.45,USD
100997,101101,5.21,USD
100998,101101,13.11,USD
100999,101101,6.27,USD
101000,101101,16.44,USD
101001,101101,6.03,USD
101002,101102,4.42,EUR
101003,101101,12.87,USD
101004,101101,14.25,USD
101005,101101,17.57,USD
101006,101101,17.15,USD
101007,101101,7.27,USD
101008,101101,3.39,USD
101009,101101,10.48,USD
101010,101101,7.03,USD
101011,101102,14.97,EUR
101012,101101,9.48,USD
101013,101101,13.83,USD
101014,101102,3.98,EUR
101015,101101,10.11,USD
101016,101102,8.09,EUR
101017,101101,14.91,USD
101018,101101,19.03,USD
101019,101101,5.01,USD
101020,101101,5.97,USD
101021,101102,17.68,EUR
101022,101102,14.97,EUR
101023,101102,18.46,EUR
101024,101102,5.86,EUR
101025,101101,14.68,USD
101026,101101,4.76,USD
101027,101101,2.93,USD
101028,101101,4.96,USD
101029,101101,10.38,USD
101030,101101,6.99,USD
101031,101101,17.61,USD
101032,101101,1.43,USD
101033,101101,4.23,USD
101034,101101,17.27,USD
101035,101101,10.33,USD
101036,101101,5.55,USD
101037,101101,3.88,USD
101038,101101,17.34,USD
101039,101101,15.69,USD
101040,101101,1.23,USD
101041,101101,11.91,USD
101042,101101,9.27,USD
101043,101102,10.16,EUR
101044,101102,9.44,EUR
101045,101101,13.81,USD
101046,101101,8.57,USD
101047,101101,3.73,USD
101048,101101,9.74,USD
101049,101101,3.17,USD
101050,101101,11.84,USD
101051,101101,9.21,USD
101052,101101,-0.03,USD
101053,101102,9.47,EUR
101054,101102,1.01,EUR
101055,101101,11.15,USD
101056,101101,11.15,USD
